# i,j,k,Xi,Yj,Zk,Bxi,Bxj,Bxk,Bmagnitude,Gradientx,Bgradienty,Bgradientz
0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,-3.888888888888888840e+00,6.976640384096930085e-10,8.080681798061418908e-10,9.184723212025907730e-10,1.408297091710626308e-09,3.622144277898375295e-10,4.391982611986310263e-10,2.868618873965453085e-10
0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,-2.777777777777777679e+00,3.256184302027250052e-10,9.143620169090161339e-10,1.503105603615307263e-09,1.789248925016680788e-09,3.305378172547436628e-10,5.563768178221798534e-10,5.391939938296548124e-10
0.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,-1.666666666666666519e+00,-3.350298733504902838e-10,9.658888338867610397e-10,2.266807541124012467e-09,2.486685079369935933e-09,5.371423857561818843e-10,6.409096043561458867e-10,8.368139869042582751e-10
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,-5.555555555555553582e-01,-1.265362995532839006e-09,9.130196409694457163e-10,3.091402277471730438e-09,3.462876898825197338e-09,1.253965114826892829e-09,7.020675413368045591e-10,9.702073649281658265e-10
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,5.555555555555553582e-01,-2.262878482361956128e-09,7.352430650882331240e-10,3.733364612538422582e-09,4.427099809226267586e-09,2.175892792590502039e-09,7.254878648624572823e-10,7.691267154279585964e-10
0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,1.666666666666666963e+00,-3.011305665128008722e-09,4.765339735706532355e-10,3.964373612269315193e-09,5.001130329681114531e-09,2.612097850937702947e-09,6.760503949866804885e-10,2.947589787974625366e-10
0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,2.777777777777778567e+00,-3.316453843348396310e-09,2.205328413872846624e-10,3.757519526122965428e-09,5.016617766821192659e-09,2.340197005366063446e-09,5.566089620369629917e-10,-2.020474548178466355e-10
0.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,3.888888888888889284e+00,-3.223290160699097311e-09,2.713486918356050327e-11,3.277559899066218524e-09,4.597035420045421260e-09,1.730964952594274471e-09,4.121499277688324647e-10,-5.196411115828471792e-10
0.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,5.000000000000000000e+00,-2.901997609295910905e-09,-9.184723212025908764e-11,2.718303145055392833e-09,3.977335543655498301e-09,1.152681412732090367e-09,2.842734476528168562e-10,-6.196998763899229589e-10
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,-5.000000000000000000e+00,1.024944026382040153e-09,8.660254037841939711e-10,7.071067811863477892e-10,1.516743306303186675e-09,4.450203970694425053e-10,2.581206996975871622e-10,3.114624033489567403e-10
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,-3.888888888888888840e+00,9.137991486691417982e-10,1.049668978823389098e-09,1.185538808977636501e-09,1.828205709652143415e-09,5.417057064459462245e-10,3.550254757438628125e-10,4.043002170035364604e-10
0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,-2.777777777777777679e+00,5.922928675183254967e-10,1.235541250612326695e-09,1.878789633706327582e-09,2.325343740310259596e-09,6.915475111403570114e-10,4.421776931757462030e-10,6.348737000157291923e-10
0.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,-1.666666666666666519e+00,-3.234316998372984466e-11,1.372418871995412376e-09,2.777180913974554701e-09,3.097953109683601800e-09,1.081762866672086918e-09,4.776265729065569106e-10,8.857131928145496339e-10
0.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,-5.555555555555553582e-01,-9.619157966832342818e-10,1.385724407927594357e-09,3.733364612538422582e-09,4.096770125939358864e-09,1.900080893628414473e-09,4.440892895747884316e-10,9.658772665110545570e-10
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,5.555555555555553582e-01,-1.999999999998400357e-09,1.224744871390609344e-09,4.449489742779618632e-09,5.029707642705710914e-09,2.829210549015971223e-09,3.576160492389068107e-10,7.100715785817473650e-10
0.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,1.666666666666666963e+00,-2.809548340586693287e-09,9.238162719517295024e-10,4.657180884490152292e-09,5.516913283102853594e-09,3.145417955896979943e-09,2.514583404929611051e-10,1.904732826693922760e-10
